ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10002173,HY191643,03/20/2015 10:30:00 AM,015XX N CENTRAL AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,true,false,2531,025,29,25,24,1138718,1909584,2015,02/10/2018 03:50:01 PM,41.90802185,-87.76586253,"(41.90802185, -87.76586253)"
10002176,HY191627,03/19/2015 01:30:00 PM,003XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,0111,001,42,32,11,1177246,1902333,2015,02/10/2018 03:50:01 PM,41.887338112,-87.624551258,"(41.887338112, -87.624551258)"
10002177,HY191659,03/19/2015 08:00:00 PM,023XX W BYRON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1921,019,47,5,06,1160150,1925845,2015,02/10/2018 03:50:01 PM,41.952227058,-87.686681579,"(41.952227058, -87.686681579)"
10002181,HY191637,03/18/2015 01:00:00 PM,018XX E 72ND ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0324,003,5,43,11,1189706,1857598,2015,02/10/2018 03:50:01 PM,41.764291333,-87.580235359,"(41.764291333, -87.580235359)"
10002188,HY191518,03/10/2015 11:00:00 AM,064XX S DANTE AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",false,false,0314,003,20,42,06,1187091,1862730,2015,02/10/2018 03:50:01 PM,41.778436411,-87.589657198,"(41.778436411, -87.589657198)"
10002193,HY191510,11/03/2014 12:00:00 PM,014XX W HARRISON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1231,012,25,28,26,1166909,1897458,2014,02/10/2018 03:50:01 PM,41.874188757,-87.662651441,"(41.874188757, -87.662651441)"
10002201,HY191521,03/20/2015 08:55:00 AM,035XX W DOUGLAS BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1021,010,24,29,14,1153051,1893064,2015,02/10/2018 03:50:01 PM,41.862417005,-87.713648303,"(41.862417005, -87.713648303)"
10002204,HY191600,03/14/2015 07:35:00 PM,053XX W MONROE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,1522,015,29,25,26,1140834,1899144,2015,02/10/2018 03:50:01 PM,41.879334552,-87.758346342,"(41.879334552, -87.758346342)"
10002209,HY191592,03/20/2015 10:09:00 AM,024XX W SUPERIOR ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1221,012,1,24,05,1159918,1904920,2015,02/10/2018 03:50:01 PM,41.894812183,-87.688113196,"(41.894812183, -87.688113196)"
10002216,HY191611,03/20/2015 08:13:00 AM,009XX N HOMAN AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,true,false,1121,011,27,23,18,1153541,1905948,2015,02/10/2018 03:50:01 PM,41.897762321,-87.71150689,"(41.897762321, -87.71150689)"
10002223,HY191581,03/19/2015 09:53:00 PM,070XX S BENNETT AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0332,003,5,43,06,1190099,1858398,2015,02/10/2018 03:50:01 PM,41.766477148,-87.578769217,"(41.766477148, -87.578769217)"
10002235,HY191656,03/20/2015 10:39:00 AM,031XX W LEXINGTON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1134,011,24,27,18,1155636,1896533,2015,02/10/2018 03:50:01 PM,41.871884716,-87.704065717,"(41.871884716, -87.704065717)"
10002237,HY191460,03/20/2015 05:00:00 AM,051XX S UNIVERSITY AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0233,002,4,41,05,1184680,1871206,2015,02/10/2018 03:50:01 PM,41.801752132,-87.598230256,"(41.801752132, -87.598230256)"
